#,Job_ID,WeatherFile,ModelFile,@@EP9_IHG@@,@@EP10_VRate@@,@@EP11_Inf@@,@@EP12_C_SP@@,@@EP14_Gla@@,@@EP15_Rat@@,@@EP16_RA@@,@@P1@@,@@P2@@,@@P3@@,@@P4@@,@@P5@@,@@P6@@,@@P7@@,@@P8@@,@@P9@@,@@P10@@,Message,Warnings,Errors,Hours,Minutes,Seconds,c0: A1_Ele_Cool_[kWh],c1: A2_Ele_Fan_[kWh],c2: A3_Ele_Pumps_[kWh],c3: A4_Ele_Heat Rejection_[kWh],c4: A5_Ele_Plant[kWh],c5: A6_Ele_CoolEnTransfer[kWh],c6: A7_Ele_CoolCoil[kWh],c7: A8_Cool_Chiller[kWh],c8: A9_HRej[kWh],c9: P1_Ele_Cool_[W],c10: P2_Ele_Fan_[W],c11: P3_Ele_Pumps_[W],c12: P4_Ele_Heat Rejection_[W],c13: P5_Ele_Plant[W],c14: P6_Ele_CoolEnTransfer[W],c15: P7_Ele_CoolCoil[W],c16: P8_Cool_Chiller[W],c17: P9_HRej[W],c18: O1_Floor Area[m2],c19: O2_Time_PlantLoop,c20: O3_Time_SensLoads,c21: O4_Time_EleUse
1880,1881,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,52.25543449,0.001434579,0.00012,23.78344007,0.4,1,9.984701106,1,1,12,5.706944969,27,2.622106042,1.351029713,0.348367448,1.1,50,EnergyPlus Completed Successfully,7,6,0,0,14.66,2085172.99,38088.73,328151.86,13935.51,2427262.29,1781803.39,1818358.78,1935860.54,7086940.57,370951.94,4348.03,48573.01,8806.1,428331.06,858276.01,966397.32,981994.09,1352946.03,15975.52,0,0,0
1881,1882,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,70.52576637,0.007402217,0.00012,26.34932304,0.4,1,8.680687096,1,1,12,7.304517075,27,3.182946951,1.187646616,0.287817734,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,7.4,78716.62,77349.18,59507.26,1173.61,139397.61,101467.87,71894.93,77916.9,299834.34,346792.4,8829.81,64786.1,7293.94,418872.44,1040932.7,1049813.06,1070173.04,1416965.44,13889.1,0,0,0
1882,1883,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,78.82273358,0.003920381,0.00012,24.90263381,0.4,1,3.950157978,1,1,12,6.318105508,27,5.460449542,1.328196162,0.242080223,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,10.48,239433.49,21786.67,86174.14,2252.18,327860.07,377699.17,378929.26,412615.88,1257089,113823.95,2487.06,31190.9,4740.36,149755.21,550090.09,607452.7,618036.48,731860.44,6320.25,0,0,0
1883,1884,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,12.10506788,0.0080115,0.00012,24.99365915,0.4,1,9.450830558,1,1,12,8.733423761,27,4.133395178,1.194296271,0.232905086,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,7.7,2801.25,129752.64,141069.9,56.23,143927.49,29165.63,4257.95,4558.76,12186.23,140770.36,14811.94,36229.25,3267.95,180267.55,507285.09,522116.64,532316.73,673087.09,15121.33,0,0,0
1884,1885,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,49.97231147,0.009960714,0.00012,22.33412534,0.4,1,3.262347657,1,1,12,5.492235387,27,5.409988655,1.076044054,0.168090239,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.06,41844.14,48587.26,58248.59,318.6,100411.41,83974.71,72984.61,79376.03,182003.01,124834.72,5546.49,35257.01,4850.26,164942,621326.71,626901.76,638909.84,764515.95,5219.76,0,0,0
1885,1886,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,75.5297244,0.008529299,0.00012,27.76063371,0.4,1,6.39865987,1,1,12,5.91318138,27,4.939114895,1.247474442,0.249011767,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,7.43,14092.52,68071.1,46051.6,251.02,60395.18,49822.77,22527.37,24285.6,68521.3,150712.02,7770.67,41532.67,4223.76,196468.45,662802.84,670430.39,683784.62,834496.64,10237.85,0,0,0
1886,1887,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,36.49414194,0.002093961,0.00012,20.41401703,0.4,1,9.542645187,1,1,12,6.183010419,27,4.392441735,1.300390473,0.157385694,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,12.67,637543.83,58710.65,213885.9,1509.23,852939.65,1016483.8,1049306.05,1131079.39,2366033.55,232264.1,6702.13,50034.48,8207.15,290505.74,869579.43,1013422.76,1030255.32,1262519.42,15268.23,0,0,0
1887,1888,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,21.91765597,0.009440621,0.00012,25.63893321,0.4,1,1.919095296,1,1,12,8.798892687,27,5.251795012,1.208766247,0.258491429,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,7.83,753.85,30308.65,31638.12,19.5,32411.5,8061.78,1250.19,1349.26,4150.5,28315.2,3459.89,8960.76,809.41,38085.37,131212.77,134679.16,137312.43,165627.63,3070.55,0,0,0
1888,1889,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,39.88512215,0.007683229,0.00012,27.86447829,0.4,1,7.942649301,1,1,12,5.403760863,27,2.867057228,1.113374922,0.391184462,1.1,50,EnergyPlus Completed Successfully,1,7,0,0,7.84,1713.72,90345.48,76693.82,35.29,78442.88,30052.48,2047.31,2144.76,6359.72,135293.36,10313.41,21323.41,3245.8,159862.57,336483.16,346806.88,351564.41,502083,12708.24,0,0,0
1889,1890,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,43.88196743,0.009071088,0.00012,24.20857642,0.4,1,5.597024078,1,1,12,7.781565339,27,4.307465252,1.117230683,0.382835834,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,7.51,32518.67,76346.85,74073.32,802.85,107394.92,57755.04,36585.37,39468.2,174695.97,192228.56,8715.39,44498.1,6691.16,243417.82,725623.1,734395.87,748764.77,1032684.71,8955.24,0,0,0
